にわとり,chicken,chickens,鶏
ねずみ,mouse,mouse,マウス
パイナップル,pineapple,pineapple,パイナップル
はさみ,scissors,the scissors,はさみ
パスタ,pasta,pasta,パスタ
バトル,battle,battle,戦い
パフェ,parfait,parfait,パフェ
パプリカ,paprika,paprika,パプリカ
ハムスター,hamster,hamster,ハムスター
バラ,rose,rose,ローズ
パン,bread,bread,パン
パンケーキ,pancake,pancake,パンケーキ
パンダ,panda,panda,パンダ
ハンバーガー,hamburger,hamburger,ハンバーガー
ハンマー,hammer,hammer,ハンマー
ピザ,pizza,pizza,ピザ
ひまわり,sunflower,sunflower,向日葵
ヒヨコ,chick,the chick,ひよこ
ビン,bottle,bottle,ボトル
ブーツ,boots,boots,ブーツ
ぶどう,grape,grape,グレープ
フライドポテト,french fries,french fries,フライドポテト
プリン,pudding,pudding,プリン
プレッツェル,pretzels,pretzels,プレッツェル
ヘアブラシ,hairbrush,hairbrush,ヘアブラシ
ベッド,bed,bed,ベッド
ヘッドフォン,headphone,headphones,ヘッドフォン
ペットボトル,pet bottle,pet bottles,ペットボトル
ベルト,belt,belt,ベルト
ペンキ缶,paint can,paint cans,ペンキ缶
ほうき,broom,broom,帚
ボールペン,ballpoint pen,ballpoint pen,ボールペン
ポット,pot,pot,ポット
ポテトチップス,potato chips,potato chips,ポテトチップス
マイク,microphone,microphone,マイクロフォン
マグカップ,mug,mug,マグ
マシュマロ,marshmallow,marshmallow,マシュマロ
マトリョーシカ,matryoshka,matryoshka,マトリョーシカ
マヤ文明,maya civilization,maya civilization,マヤ文明
みかん,mandarin orange,mandarin orange,橘
ミキサー,mixer,mixer,ミキサー
ミトン,mitten,mitten,ミトン
もも,peache,peaches,桃
やきそば,fried soba,fried soba,焼きそば
ヨーグルト,yogurt,yogurt,ヨーグルト
ラーメン,ramen,ramen,ラーメン
リス,squirrel,squirrel,リス
りんご,apple,apple,林檎
ルーペ,magnifying glass,magnifying glass,虫眼鏡
ルームランプ,room lamp,room lamp,ルームランプ
ロケット,rocket,rocket,ロケット
ロボット,robot,robot,ロボット
ワイン,wine,wine,ワイン
ワッフル,waffle,waffle,ワッフル
ワニ,crocodile,crocodile,クロコダイル
椅子,chair,chair,椅子
井戸,well,well,良く
宇宙人,alien,alien,エイリアン
液晶モニター,LCD monitor,lcd monitor,液晶モニター
鉛筆,pencil,pencil,鉛筆
夏,summer,summer,夏
海,sea,sea,海
階段,stairs,stairs,階段
骸骨,skeleton,skeleton,スケルトン
観葉植物,foliage plant,foliage plant,観葉植物
眼鏡,glasses,glasses,眼鏡
弓,bow,bow,弓
牛乳,milk,milk,ミルク
靴,shoes,shoes,靴
栗,chestnut,chestnut,栗
計算機,calculator,calculator,電卓
剣,sword,sword,剣
犬,dog,dog,犬
鍵,key,key,キー
工場,factory,factory,工場
紅茶,black tea,black tea,紅茶
香水瓶,perfume bottle,perfume bottles,香水瓶
高速道路,highway,highway,高速道路
砂時計,hourglass,hourglass,砂時計
財布,wallet,wallet,財布
桜,cherry blossoms,cherry blossoms,桜
傘,umbrella,umbrella,傘
指輪,ring,ring,リング
蛇口,faucet,faucet,蛇口
寿司,sushi,sushi,寿司
秋,autumn,autumn,秋
銃,gun,gun,銃
春,spring,spring,春
盾,shield,shield,シールド
鐘,bell,bell,ベル
城,castle,castle,城
杖,wand,cane,杖
植木鉢,flower pot,flower pot,植木鉢
食器,tableware,tableware,食器
星,star,star,星
切り株,stump,stump,切り株
雪だるま,snowman,snowman,雪だるま
洗濯機,washing machine,washing machine,洗濯機
潜水艦,submarine,submarine,潜水艦
双眼鏡,binoculars,binoculars,双眼鏡
掃除機,vacuum cleaner,vacuum cleaner,掃除機
窓,window,window,窓
太陽,sun,solar,太陽
暖炉,fireplace,fireplace,暖炉
地球,earth,earth,地球
池,pond,pond,池
置き時計,table clock,table clock,置き時計
蓄音機,gramophone,gramophone,蓄音機
電球,light bulb,light bulb,電球
電話機,telephone,telephone set,電話機
冬,winter,winter,冬
洞窟,cave,cave,洞窟
鍋,pot,pot,ポット
猫,cat,cat,ネコ
鳩,pigeon,pigeon,鳩
風車,windmill,windmill,風車
噴水,fountain,fountain,噴水
弁当,lunch box,lunch box,弁当箱
望遠鏡,telescope,telescope,望遠鏡
本棚,bookshelf,bookshelf,本棚
魔法,magic,magic,魔法
枕,pillow,pillow,枕
万年筆,fountain pen,fountain pen,万年筆
目玉焼き,fried egg,fried egg,目玉焼き
妖精,fairy,fairy,妖精
冷蔵庫,refrigerator,refrigerator,冷蔵庫
狼,wolf,wolf,狼
